CustomerId,Recency,Frequency,Monetary
CustomerId_1122,65,1,1850000.0
CustomerId_1123,47,1,1000.0
CustomerId_1124,33,3,30000.0
CustomerId_1125,32,1,5000.0
CustomerId_1127,5,25,93800.0
CustomerId_1129,75,2,1000.0
CustomerId_1130,78,2,5000.0
CustomerId_1131,2,6,18000.0
CustomerId_1134,1,5,3500.0
CustomerId_1135,24,8,73000.0
CustomerId_1137,54,10,120700.0
CustomerId_1140,45,1,5000.0
CustomerId_1141,9,36,186400.0
CustomerId_1145,39,4,9500.0
CustomerId_1146,47,3,30000.0
CustomerId_1147,12,14,96000.0
CustomerId_1150,74,2,2000.0
CustomerId_1153,58,1,3000.0
CustomerId_1154,1,7,5600.0
CustomerId_1156,2,260,1577997.0
CustomerId_1158,89,4,40700.0
CustomerId_1159,5,3,26000.0
CustomerId_1160,1,9,74890.0
CustomerId_1161,25,1,2500.0
CustomerId_1162,6,4,5600.0
CustomerId_1163,1,8,76000.0
CustomerId_1164,68,3,30000.0
CustomerId_1165,38,3,60000.0
CustomerId_1169,5,1,1000.0
CustomerId_1170,10,10,126000.0
CustomerId_1171,56,3,5500.0
CustomerId_1172,14,52,240400.0
CustomerId_1174,90,1,1000.0
CustomerId_1175,1,155,9003995.0
CustomerId_1177,4,4,28878.0
CustomerId_1179,21,1,2000.0
CustomerId_1180,12,54,148980.0
CustomerId_1182,6,2,16000.0
CustomerId_1183,20,12,55420.0
CustomerId_1184,75,1,1000.0
CustomerId_1186,77,2,7000.0
CustomerId_1187,55,4,50000.0
CustomerId_1189,38,2,3000.0
CustomerId_1190,12,11,96000.0
CustomerId_1191,5,4,26500.0
CustomerId_1192,5,12,42600.0
CustomerId_1193,54,2,15000.0
CustomerId_1194,55,2,15000.0
CustomerId_1195,54,4,25000.0
CustomerId_1196,48,3,25500.0
CustomerId_1197,55,2,15000.0
CustomerId_1198,55,2,15000.0
CustomerId_1200,48,2,15000.0
CustomerId_1201,2,118,616202.0
CustomerId_1202,1,21,166000.0
CustomerId_1203,1,29,44400.0
CustomerId_1204,47,2,15000.0
CustomerId_1208,85,5,20000.0
CustomerId_1209,20,4,36000.0
CustomerId_1210,77,2,37000.0
CustomerId_1211,85,2,200000.0
CustomerId_1212,51,9,41000.0
CustomerId_1214,7,28,106500.0
CustomerId_1215,74,1,1000.0
CustomerId_1217,48,5,40500.0
CustomerId_1218,1,53,140500.0
CustomerId_1219,29,3,4000.0
CustomerId_1220,19,10,51000.0
CustomerId_1221,6,3,26000.0
CustomerId_1222,10,27,85055.0
CustomerId_1223,4,3,21500.0
CustomerId_1224,6,1,10000.0
CustomerId_1225,9,1,1000.0
CustomerId_1226,44,4,12000.0
CustomerId_1227,14,19,79830.0
CustomerId_1228,12,3,26000.0
CustomerId_1229,16,1,1000.0
CustomerId_1231,37,1,2000.0
CustomerId_1232,16,1,5000.0
CustomerId_1233,28,1,1000.0
CustomerId_1234,54,6,60700.0
CustomerId_1235,47,4,25000.0
CustomerId_1236,45,4,10000.0
CustomerId_1237,29,1,1000.0
CustomerId_1238,5,3,26000.0
CustomerId_1240,45,4,40000.0
CustomerId_1241,26,5,36000.0
CustomerId_1242,6,100,1017100.0
CustomerId_1244,88,1,5000.0
CustomerId_1245,5,22,166000.0
CustomerId_1246,26,14,100000.0
CustomerId_1247,1,7,86000.0
CustomerId_1250,4,161,679100.0
CustomerId_1252,13,14,101000.0
CustomerId_1253,13,3,26000.0
CustomerId_1256,33,3,31000.0
CustomerId_1257,13,7,17210.0
CustomerId_1258,12,5,36000.0
CustomerId_1259,69,10,17500.0
CustomerId_1260,6,6,51000.0
CustomerId_1262,26,7,10100.0
CustomerId_1263,54,3,25000.0
CustomerId_1265,22,65,264700.0
CustomerId_1266,16,12,9795.0
CustomerId_1267,25,1,1000.0
CustomerId_1268,16,1,1000000.0
CustomerId_1269,76,1,5000.0
CustomerId_1270,10,22,53100.0
CustomerId_1271,18,5,5600.0
CustomerId_1272,54,3,4500.0
CustomerId_1273,68,3,30000.0
CustomerId_1274,44,1,5000.0
CustomerId_1275,1,143,730500.0
CustomerId_1276,6,45,764500.0
CustomerId_1277,2,36,168000.0
CustomerId_1279,54,4,40000.0
CustomerId_1280,22,28,109500.0
CustomerId_1281,5,18,225900.0
CustomerId_1282,13,1,10000.0
CustomerId_1283,75,17,18000.0
CustomerId_1285,76,3,3000.0
CustomerId_1286,17,20,76060.0
CustomerId_1287,62,4,40000.0
CustomerId_1288,2,11,16500.0
CustomerId_1294,5,8,65900.0
CustomerId_1295,62,10,98000.0
CustomerId_1296,52,1,500.0
CustomerId_1297,65,1,5000.0
CustomerId_1298,29,16,419000.0
CustomerId_1299,29,18,229000.0
CustomerId_1300,20,4,26000.0
CustomerId_1301,12,13,111000.0
CustomerId_1302,25,14,7741500.0
CustomerId_1303,5,15,126000.0
CustomerId_1304,20,3,150000.0
CustomerId_1306,65,37,63800.0
CustomerId_1307,27,13,255000.0
CustomerId_1308,35,14,149558.0
CustomerId_1310,13,1,10000.0
CustomerId_1311,21,21,42585.0
CustomerId_1312,19,1,1000.0
CustomerId_1313,47,3,30000.0
CustomerId_1316,16,2,30000.0
CustomerId_1317,10,7,56000.0
CustomerId_1318,65,4,6026.0
CustomerId_1320,79,2,10000.0
CustomerId_1321,63,2,60000.0
CustomerId_1322,62,4,4000.0
CustomerId_1323,12,11,76000.0
CustomerId_1324,5,29,709000.0
CustomerId_1325,49,4,41500.0
CustomerId_1326,47,3,13000.0
CustomerId_1328,23,1,1000.0
CustomerId_1329,2,5,38000.0
CustomerId_1330,12,4,51000.0
CustomerId_1331,19,9,77000.0
CustomerId_1332,83,2,3000.0
CustomerId_1335,12,63,250745.0
CustomerId_1338,77,2,22000.0
CustomerId_1339,47,3,25000.0
CustomerId_1341,60,7,22000.0
CustomerId_1343,52,1,1000.0
CustomerId_1349,54,7,8000.0
CustomerId_1351,80,10,97000.0
CustomerId_1353,22,1,2000000.0
CustomerId_1355,58,5,10000.0
CustomerId_1356,90,1,5000.0
CustomerId_1357,27,1,100.0
CustomerId_1358,2,3,3000.0
CustomerId_1359,12,6,51000.0
CustomerId_1360,66,1,10000.0
CustomerId_1361,82,5,11000.0
CustomerId_1362,2,11,112000.0
CustomerId_1363,54,1,5000.0
CustomerId_1365,33,2,20000.0
CustomerId_1366,23,2,2000.0
CustomerId_1367,5,4,26000.0
CustomerId_1369,68,3,30000.0
CustomerId_1370,66,6,113000.0
CustomerId_1372,19,1,500.0
CustomerId_1373,39,1,10000.0
CustomerId_1375,16,3,30000.0
CustomerId_1376,40,2,220000.0
CustomerId_1377,23,1,1000.0
CustomerId_1378,1,7,76000.0
CustomerId_1379,85,1,1000.0
CustomerId_1380,1,12,116000.0
CustomerId_1381,63,1,5000.0
CustomerId_1382,2,13,14100.0
CustomerId_1384,25,3,7000.0
CustomerId_1385,18,1,50000.0
CustomerId_1386,83,1,1000.0
CustomerId_1387,10,22,23337.0
CustomerId_1389,56,1,100000.0
CustomerId_1390,22,1,500.0
CustomerId_1392,50,3,11600.0
CustomerId_1393,65,1,5200.0
CustomerId_1394,72,1,10000.0
CustomerId_1395,6,3,26000.0
CustomerId_1396,68,4,35200.0
CustomerId_1397,1,5,8000.0
CustomerId_1398,7,25,218500.0
CustomerId_1400,50,1,500.0
CustomerId_1402,33,4,11000.0
CustomerId_1404,5,2,4000.0
CustomerId_1406,87,1,500.0
CustomerId_1407,12,12,107000.0
CustomerId_1408,49,1,1000.0
CustomerId_1409,5,14,32400.0
CustomerId_1410,5,10,66000.0
CustomerId_1411,35,6,7000.0
CustomerId_1413,3,90,516932.0
CustomerId_1414,5,2,16000.0
CustomerId_1415,2,24,41760.0
CustomerId_1417,36,2,7000.0
CustomerId_1418,24,1,3500.0
CustomerId_1419,28,5,40000.0
CustomerId_1420,62,6,13100.0
CustomerId_1421,14,6,31000.0
CustomerId_1422,89,2,14020.0
CustomerId_1423,84,9,8500.0
CustomerId_1424,20,3,26000.0
CustomerId_1425,1,18,61000.0
CustomerId_1426,84,1,10000.0
CustomerId_1427,54,16,171400.0
CustomerId_1429,5,25,202500.0
CustomerId_1431,64,1,5000.0
CustomerId_1432,91,1,2000.0
CustomerId_1435,12,22,136100.0
CustomerId_1436,55,2,15000.0
CustomerId_1437,38,1,20000.0
CustomerId_1438,4,25,162463.0
CustomerId_1439,54,1,500.0
CustomerId_1440,2,2,1450.0
CustomerId_1441,57,1,1000.0
CustomerId_1442,12,6,51000.0
CustomerId_1443,33,2,2000.0
CustomerId_1444,58,1,500.0
CustomerId_1445,29,1,500.0
CustomerId_1447,75,5,11000.0
CustomerId_1448,14,3,3500.0
CustomerId_1449,15,17,496600.0
CustomerId_1450,27,6,62000.0
CustomerId_1451,23,11,19700.0
CustomerId_1452,31,7,25000.0
CustomerId_1453,11,7,21500.0
CustomerId_1454,1,9,81000.0
CustomerId_1455,77,1,1000.0
CustomerId_1458,42,1,500.0
CustomerId_1459,46,1,10000.0
CustomerId_1461,19,24,67500.0
CustomerId_1464,12,2,16000.0
CustomerId_1466,19,5,44200.0
CustomerId_1468,21,11,403664.0
CustomerId_1472,5,51,280184.0
CustomerId_1474,72,1,10000.0
CustomerId_1475,82,5,17000.0
CustomerId_1476,76,6,15050.0
CustomerId_1477,11,41,130629.0
CustomerId_1478,6,2,16000.0
CustomerId_1479,19,4,26000.0
CustomerId_1480,5,22,151000.0
CustomerId_1481,60,11,25000.0
CustomerId_1482,60,8,30000.0
CustomerId_1483,44,5,11055.0
CustomerId_1484,12,5,4000.0
CustomerId_1485,13,17,126000.0
CustomerId_1486,33,3,31000.0
CustomerId_1487,67,8,6500.0
CustomerId_1488,33,3,26000.0
CustomerId_1489,51,6,90000.0
CustomerId_1490,60,3,30000.0
CustomerId_1492,82,2,3500.0
CustomerId_1494,2,18,95000.0
CustomerId_1495,82,3,11000.0
CustomerId_1496,78,1,50000.0
CustomerId_1498,3,2,4500.0
CustomerId_1499,75,6,40000.0
CustomerId_1501,6,3,26000.0
CustomerId_1502,53,1,5000.0
CustomerId_1503,27,43,309950.0
CustomerId_1504,2,5,111000.0
CustomerId_1505,6,73,230200.0
CustomerId_1506,47,1,5000.0
CustomerId_1507,7,1,1000.0
CustomerId_1508,13,16,101000.0
CustomerId_1509,6,11,80944.0
CustomerId_1510,59,55,220500.0
CustomerId_1511,25,2,5000.0
CustomerId_1512,1,23,135400.0
CustomerId_1513,47,3,30000.0
CustomerId_1514,77,6,5400.0
CustomerId_1515,5,48,150600.0
CustomerId_1516,33,4,27000.0
CustomerId_1517,21,10,30000.0
CustomerId_1518,48,2,15000.0
CustomerId_1520,13,14,119100.0
CustomerId_1521,87,1,1000.0
CustomerId_1523,18,12,280350.0
CustomerId_1524,6,3,16000.0
CustomerId_1525,72,1,1000.0
CustomerId_1526,33,1,500.0
CustomerId_1528,38,3,13000.0
CustomerId_1529,83,19,28600.0
CustomerId_1531,63,1,3000.0
CustomerId_1532,45,13,599475.0
CustomerId_1533,5,65,148000.0
CustomerId_1535,3,7,60212748.0
CustomerId_1537,19,19,115271.0
CustomerId_1538,12,11,86000.0
CustomerId_1540,75,3,25000.0
CustomerId_1541,46,23,89400.0
CustomerId_1542,12,3,16000.0
CustomerId_1543,12,3,26000.0
CustomerId_1545,14,38,245800.0
CustomerId_1546,5,32,400700.0
CustomerId_1547,53,30,107600.0
CustomerId_1550,6,10,76000.0
CustomerId_1554,3,16,33500.0
CustomerId_1557,5,18,151000.0
CustomerId_1561,5,3,26000.0
CustomerId_1562,68,1,5000.0
CustomerId_1564,66,12,36760.0
CustomerId_1565,55,9,61000.0
CustomerId_1566,23,1,1000.0
CustomerId_1567,21,3,1000500.0
CustomerId_1568,29,9,24100.0
CustomerId_1569,35,1,5000.0
CustomerId_1570,54,6,35500.0
CustomerId_1571,40,1,10000.0
CustomerId_1572,12,9,76000.0
CustomerId_1573,68,3,30000.0
CustomerId_1576,38,61,268158.0
CustomerId_1577,87,2,5500.0
CustomerId_1578,69,8,100000.0
CustomerId_1579,1,12,126000.0
CustomerId_1580,42,4,6000.0
CustomerId_1581,26,11,31000.0
CustomerId_1583,36,5,9000.0
CustomerId_1584,1,37,248800.0
CustomerId_1587,86,9,19300.0
CustomerId_1588,31,20,133000.0
CustomerId_1591,20,6,46000.0
CustomerId_1593,1,7,76000.0
CustomerId_1594,5,72,435260.0
CustomerId_1595,76,2,2000.0
CustomerId_1597,77,1,50000.0
CustomerId_1599,34,2,1000.0
CustomerId_1601,59,1,600.0
CustomerId_1602,13,46,4233000.0
CustomerId_1604,48,17,67200.0
CustomerId_1605,77,1,1800.0
CustomerId_1608,88,9,20500.0
CustomerId_1609,84,3,2000.0
CustomerId_1610,22,1,500.0
CustomerId_1611,47,3,25000.0
CustomerId_1612,3,1,20000.0
CustomerId_1613,13,13,101000.0
CustomerId_1614,39,4,2000.0
CustomerId_1615,12,3,16000.0
CustomerId_1617,2,1,500.0
CustomerId_1618,1,7,96000.0
CustomerId_1619,90,1,5000.0
CustomerId_1620,26,3,26000.0
CustomerId_1621,26,1,1000.0
CustomerId_1622,5,84,424570.0
CustomerId_1623,5,3,26000.0
CustomerId_1624,54,11,100700.0
CustomerId_1625,55,11,111400.0
CustomerId_1626,24,9,7000.0
CustomerId_1627,4,1,500.0
CustomerId_1629,48,1,500.0
CustomerId_1632,5,51,399400.0
CustomerId_1634,54,13,114600.0
CustomerId_1635,33,3,31000.0
CustomerId_1636,8,20,81900.0
CustomerId_1637,15,1,10000.0
CustomerId_1638,59,1,500.0
CustomerId_1639,26,8,18600.0
CustomerId_1640,42,4,4500.0
CustomerId_1641,54,3,30000.0
CustomerId_1642,44,5,30000.0
CustomerId_1643,47,3,25000.0
CustomerId_1645,5,3,26000.0
CustomerId_1646,40,1,500.0
CustomerId_1647,11,13,17700.0
CustomerId_1649,26,1,500.0
CustomerId_1651,2,2,20000.0
CustomerId_1652,46,1,5000.0
CustomerId_1653,25,4,1661500.0
CustomerId_1655,12,6,51000.0
CustomerId_1656,4,64,1159000.0
CustomerId_1657,52,3,6000.0
CustomerId_1658,7,34,114600.0
CustomerId_1659,70,3,165000.0
CustomerId_1660,67,1,1000.0
CustomerId_1661,1,14,63703.0
CustomerId_1663,11,309,1725000.0
CustomerId_1664,86,1,1000.0
CustomerId_1666,34,1,50000.0
CustomerId_1669,30,1,500.0
CustomerId_1670,62,8,235135.0
CustomerId_1671,73,2,10000.0
CustomerId_1672,35,5,21250.0
CustomerId_1674,82,1,20000.0
CustomerId_1676,5,24,200000.0
CustomerId_1679,55,2,15000.0
CustomerId_1680,12,7,754000.0
CustomerId_1681,1,7,76000.0
CustomerId_1683,8,10,109500.0
CustomerId_1684,12,10,72000.0
CustomerId_1686,7,1,1000.0
CustomerId_1687,61,1,2000.0
CustomerId_1688,24,12,113100.0
CustomerId_1690,81,17,2018000.0
CustomerId_1692,27,5,13000.0
CustomerId_1694,13,16,126000.0
CustomerId_1695,7,64,796500.0
CustomerId_1696,26,7,30300.0
CustomerId_1697,6,6,46000.0
CustomerId_1698,24,1,500000.0
CustomerId_1699,39,83,859356.0
CustomerId_1701,1,18,105000.0
CustomerId_1702,89,7,12500.0
CustomerId_1703,64,1,500.0
CustomerId_1705,2,1,1000.0
CustomerId_1707,29,3,13500.0
CustomerId_1708,12,4,26000.0
CustomerId_1709,1,350,924919.0
CustomerId_1710,22,3,4000.0
CustomerId_1712,39,1,1000.0
CustomerId_1713,21,36,44280.0
CustomerId_1714,62,4,40000.0
CustomerId_1716,62,1,80000.0
CustomerId_1717,1,7,61000.0
CustomerId_1719,3,1,5000.0
CustomerId_1720,47,3,30000.0
CustomerId_1721,47,3,30000.0
CustomerId_1722,21,1,1000.0
CustomerId_1723,86,1,800.0
CustomerId_1724,29,1,1000000.0
CustomerId_1725,85,12,26500.0
CustomerId_1726,56,3,8000.0
CustomerId_1728,39,2,5500.0
CustomerId_1729,33,6,46000.0
CustomerId_1730,27,38,170700.0
CustomerId_1731,56,16,354500.0
CustomerId_1732,53,13,186000.0
CustomerId_1733,5,27,231000.0
CustomerId_1735,19,1,3000.0
CustomerId_1736,34,1,500.0
CustomerId_1738,6,3,26000.0
CustomerId_1739,9,14,11500.0
CustomerId_1741,40,3,13000.0
CustomerId_1742,24,3,7000.0
CustomerId_1744,34,1,5000.0
CustomerId_1748,20,3,64000.0
CustomerId_1749,34,2,2000.0
CustomerId_1750,1,13,25500.0
CustomerId_1752,23,2,2000.0
CustomerId_1753,68,1,250000.0
CustomerId_1754,49,1,500.0
CustomerId_1755,43,1,5000.0
CustomerId_1756,61,1,5000.0
CustomerId_1757,70,2,1000.0
CustomerId_1758,8,58,148955.0
CustomerId_1759,32,7,32000.0
CustomerId_1762,6,7,16800.0
CustomerId_1763,19,9,56000.0
CustomerId_1764,74,2,11000.0
CustomerId_1767,2,12,303000.0
CustomerId_1768,11,32,241400.0
CustomerId_1769,40,1,10000.0
CustomerId_1770,1,6,20800.0
CustomerId_1773,5,15,81629.0
CustomerId_1774,5,28,225000.0
CustomerId_1776,45,1,500.0
CustomerId_1782,1,14,47000.0
CustomerId_1784,5,6,51000.0
CustomerId_1786,6,21,176400.0
CustomerId_1790,2,20,209040.0
CustomerId_1791,33,4,36000.0
CustomerId_1792,76,1,1000000.0
CustomerId_1794,73,8,15000.0
CustomerId_1795,1,5,60000.0
CustomerId_1797,44,3,8000.0
CustomerId_1798,36,1,50000.0
CustomerId_1800,13,3,21000.0
CustomerId_1801,13,11,13000.0
CustomerId_1802,8,3,21000.0
CustomerId_1805,42,20,365835.0
CustomerId_1806,71,16,67000.0
CustomerId_1807,54,4,40000.0
CustomerId_1809,63,12,62121.0
CustomerId_1810,1,14,126000.0
CustomerId_1811,85,2,2000.0
CustomerId_1812,17,19,811388.0
CustomerId_1813,68,2,21000.0
CustomerId_1815,1,47,79095.0
CustomerId_1817,55,3,30000.0
CustomerId_1820,28,7,16000.0
CustomerId_1821,4,1,10000.0
CustomerId_1825,5,12,145700.0
CustomerId_1827,54,3,30000.0
CustomerId_1828,54,2,20000.0
CustomerId_1830,65,4,4000.0
CustomerId_1831,32,8,305000.0
CustomerId_1833,61,6,800000.0
CustomerId_1835,47,3,30000.0
CustomerId_1836,22,1,5000.0
CustomerId_1838,29,1,1000.0
CustomerId_1839,68,11,27700.0
CustomerId_1841,6,16,136000.0
CustomerId_1843,62,6,5010.0
CustomerId_1844,40,8,52200.0
CustomerId_1845,6,9,30000.0
CustomerId_1846,16,8,74645.0
CustomerId_1848,10,11,78700.0
CustomerId_1849,4,20,61000.0
CustomerId_1850,23,1,1509988.0
CustomerId_1852,22,1,2000.0
CustomerId_1853,55,1,1000.0
CustomerId_1855,1,3,3000.0
CustomerId_1856,19,2,60600.0
CustomerId_1858,33,39,3702340.0
CustomerId_1859,60,2,1000.0
CustomerId_1860,2,34,306448.0
CustomerId_1861,54,3,25000.0
CustomerId_1862,84,3,2500.0
CustomerId_1864,6,22,136600.0
CustomerId_1867,9,24,161000.0
CustomerId_1870,89,2,15000.0
CustomerId_1871,33,14,56500.0
CustomerId_1872,13,4,20000.0
CustomerId_1873,89,1,1000.0
CustomerId_1874,10,14,100100.0
CustomerId_1875,6,63,753100.0
CustomerId_1876,52,3,11000.0
CustomerId_1877,11,13,191700.0
CustomerId_1879,87,1,1000.0
CustomerId_1881,5,28,260000.0
CustomerId_1882,19,4,6500.0
CustomerId_1884,72,1,10000.0
CustomerId_1885,30,1,150000.0
CustomerId_1886,50,1,10000.0
CustomerId_1887,56,1,1000.0
CustomerId_1888,63,1,10000.0
CustomerId_1889,5,48,395564.0
CustomerId_1890,6,6,91000.0
CustomerId_1891,45,6,2010000.0
CustomerId_1892,12,1,10000.0
CustomerId_1895,84,7,11200.0
CustomerId_1898,6,48,266200.0
CustomerId_1899,12,7,61000.0
CustomerId_1900,39,1,30000.0
CustomerId_1901,12,12,101000.0
CustomerId_1903,20,1,10000.0
CustomerId_1906,31,28,198800.0
CustomerId_1907,78,2,11000.0
CustomerId_1908,28,91,130262.0
CustomerId_1911,21,33,5228000.0
CustomerId_1913,77,1,500.0
CustomerId_1914,77,3,11000.0
CustomerId_1915,44,4,33624.0
CustomerId_1916,11,11,14000.0
CustomerId_1917,37,6,325000.0
CustomerId_1918,65,1,500.0
CustomerId_1919,47,3,25000.0
CustomerId_1922,12,3,26000.0
CustomerId_1923,6,3,26000.0
CustomerId_1925,26,31,59600.0
CustomerId_1927,32,2,20000.0
CustomerId_1928,28,1,1000.0
CustomerId_1929,1,154,935300.0
CustomerId_1930,47,3,30000.0
CustomerId_1931,12,7,51000.0
CustomerId_1932,58,18,35000.0
CustomerId_1935,71,1,1000.0
CustomerId_1937,7,49,291500.0
CustomerId_1938,33,38,79344.0
CustomerId_1942,40,4,4000.0
CustomerId_1943,28,40,101500.0
CustomerId_1944,27,3,80000.0
CustomerId_1945,25,2,8000.0
CustomerId_1946,1,12,116000.0
CustomerId_1947,81,18,165000.0
CustomerId_1950,47,6,50000.0
CustomerId_1951,38,2,2000.0
CustomerId_1956,2,35,121500.0
CustomerId_1961,3,1,1000.0
CustomerId_1963,86,5,14500.0
CustomerId_1965,6,19,147510.0
CustomerId_1966,67,1,10000.0
CustomerId_1967,17,2,21000.0
CustomerId_1968,3,6,23650.0
CustomerId_1969,2,65,594000.0
CustomerId_1970,20,4,15000.0
CustomerId_1971,47,3,30000.0
CustomerId_1972,37,1,500.0
CustomerId_1973,6,7,51000.0
CustomerId_1974,1,15,143000.0
CustomerId_1975,54,3,30000.0
CustomerId_1976,1,84,413100.0
CustomerId_1978,33,3,31000.0
CustomerId_1979,83,96,312700.0
CustomerId_1980,1,2,100500.0
CustomerId_1981,43,5,5100.0
CustomerId_1983,61,11,30000.0
CustomerId_1984,34,1,540000.0
CustomerId_1985,1,39,200598.0
CustomerId_1986,37,1,500.0
CustomerId_1987,1,231,2357600.0
CustomerId_1988,19,20,1923800.0
CustomerId_1990,33,3,31000.0
CustomerId_1991,12,2,16000.0
CustomerId_1994,21,5,4100.0
CustomerId_1995,11,161,985523.0
CustomerId_1996,15,13,56000.0
CustomerId_1997,87,4,3300.0
CustomerId_1998,13,3,20000.0
CustomerId_1999,25,2,101500.0
CustomerId_2001,82,7,11000.0
CustomerId_2002,11,2,5500.0
CustomerId_2003,12,8,95000.0
CustomerId_2004,72,2,1500.0
CustomerId_2006,55,41,728500.0
CustomerId_2007,87,1,500.0
CustomerId_2008,83,1,500.0
CustomerId_2009,13,11,81000.0
CustomerId_2012,47,15,55500.0
CustomerId_2013,6,97,502695.0
CustomerId_2014,33,3,31000.0
CustomerId_2015,5,7,51000.0
CustomerId_2016,55,8,16100.0
CustomerId_2017,22,44,123500.0
CustomerId_2018,2,5,46000.0
CustomerId_2019,85,1,2000.0
CustomerId_2020,12,3,21000.0
CustomerId_2022,84,2,1500.0
CustomerId_2025,33,3,30000.0
CustomerId_2029,4,1,1000.0
CustomerId_2030,19,1,2000.0
CustomerId_2032,3,54,300000.0
CustomerId_2033,8,52,122070.0
CustomerId_2034,19,12,65000.0
CustomerId_2035,10,6,23000.0
CustomerId_2036,87,1,50000.0
CustomerId_2039,57,1,500.0
CustomerId_2040,2,1,150000.0
CustomerId_2041,10,5,31000.0
CustomerId_2042,1,13,125000.0
CustomerId_2046,51,1,5000.0
CustomerId_2049,66,1,1000.0
CustomerId_2051,5,46,380400.0
CustomerId_2052,3,114,296600.0
CustomerId_2053,16,1,1000.0
CustomerId_2054,14,4,6000.0
CustomerId_2055,30,7,36000.0
CustomerId_2056,39,13,44650.0
CustomerId_2057,54,3,30000.0
CustomerId_2059,44,1,1100.0
CustomerId_2061,12,11,51000.0
CustomerId_2062,5,10,64900.0
CustomerId_2063,13,18,126000.0
CustomerId_2064,18,24,82400.0
CustomerId_2065,30,5,7000.0
CustomerId_2067,1,1,2000.0
CustomerId_2068,1,87,377750.0
CustomerId_2069,2,34,242960.0
CustomerId_2071,13,1,10000.0
CustomerId_2072,1,22,197000.0
CustomerId_2073,40,1,1000.0
CustomerId_2074,54,3,30000.0
CustomerId_2075,18,4,14000.0
CustomerId_2076,79,1,1500.0
CustomerId_2078,24,5,61600.0
CustomerId_2081,52,1,4000.0
CustomerId_2083,29,1,1000.0
CustomerId_2085,71,1,5000.0
CustomerId_2086,8,2,52000.0
CustomerId_2089,86,4,10000.0
CustomerId_2093,6,16,203000.0
CustomerId_2094,3,93,531400.0
CustomerId_2095,3,1,10000.0
CustomerId_2097,33,2,105000.0
CustomerId_2098,75,1,10000.0
CustomerId_2099,89,3,25200.0
CustomerId_2101,80,1,500.0
CustomerId_2102,54,4,50000.0
CustomerId_2103,54,3,30000.0
CustomerId_2104,68,3,30000.0
